Taxon,total,BRG,IDF,RA
AAMB,46,6,32,8
ACLI,28,0,0,28
ADAM,25,0,0,25
ADCT,133,0,127,6
ADEU,96,0,55,41
ADLA,31,0,0,31
ADMI,153,0,153,0
ADPY,86,39,47,0
ADRI,35,18,0,17
ADRU,49,0,49,0
ADSB,72,16,56,0
ADSU,40,0,0,40
AFOR,51,17,17,17
AMID,88,0,58,30
AOVA,25,0,13,12
APED,91,0,60,31
AUAJ,12,3,0,9
AUGA,37,4,28,5
AUGR,57,5,34,18
AUPU,84,25,51,8
AUSU,20,20,0,0
BPAX,7,0,7,0
CAEX,71,0,37,34
CAGR,109,14,85,10
CAMB,14,4,4,6
CATO,79,26,44,9
CCMP,15,0,0,15
CDUB,90,23,40,27
CEUG,69,17,25,27
CINV,69,20,39,10
CLCT,102,24,50,28
CLNT,45,15,0,30
CMED,73,31,27,15
CMEN,58,9,23,26
CMLF,36,9,10,17
CNLP,17,0,0,17
COPL,85,10,29,46
CPED,49,8,27,14
CPLA,55,11,32,12
CRAC,70,11,48,11
CSLP,32,0,0,32
CSNU,19,19,0,0
CTPU,22,9,2,11
CTWE,15,9,0,6
DCOF,34,14,4,16
DMES,56,20,0,36
DMON,300,23,0,277
DOCU,81,0,50,31
DSTE,70,0,60,10
DTEN,42,0,42,0
DVUL,58,12,21,25
ECAE,54,0,38,16
ECPM,55,0,22,33
EEXI,18,10,0,8
EICD,29,12,0,17
EMIN,44,20,3,21
ENCM,35,0,35,0
ENMI,56,0,0,56
ENVE,71,0,33,38
EOCO,110,20,69,21
ESLE,22,0,0,22
ESUM,34,0,16,18
ETEN,61,24,0,37
FCAD,19,19,0,0
FCRO,50,13,23,14
FFVI,34,12,0,22
FGRA,80,19,40,21
FLEN,99,9,90,0
FMES,28,14,0,14
FMOC,49,0,44,5
FNEV,51,22,0,29
FPEC,88,24,0,64
FPRU,54,16,0,38
FSAP,111,21,83,7
FSBH,82,12,38,32
FSLU,93,12,64,17
FVAU,66,34,0,32
GACC,92,11,47,34
GBOB,49,0,49,0
GCLF,34,0,0,34
GCUN,105,0,61,44
GELG,52,0,0,52
GLAT,34,0,0,34
GMIN,113,0,45,68
GOLI,70,0,31,39
GPAR,77,0,38,39
GPLI,59,0,20,39
GPRI,120,0,58,62
GRHB,23,0,0,23
GSCI,29,5,19,5
GTER,94,0,37,57
GTRU,24,0,10,14
GYAC,3,0,3,0
GYAT,10,1,5,4
GYKU,10,4,0,6
HARC,39,13,0,26
HLMO,31,0,0,31
HUCO,14,14,0,0
HVEN,31,0,0,31
KALA,30,18,0,12
KCLE,73,13,24,36
LGOE,71,0,34,37
LHLU,10,10,0,0
MAAT,16,0,0,16
MCCO,22,0,0,22
MCIR,55,21,7,27
MING,11,11,0,0
MPMI,17,12,0,5
MVAR,32,6,15,11
NAAN,7,0,0,7
NACI,38,0,38,0
NAMP,36,0,36,0
NANT,83,0,50,33
NCIN,16,0,0,16
NCPL,28,0,28,0
NCPR,56,0,22,34
NCRY,77,0,58,19
NCTE,50,0,26,24
NCTO,53,0,28,25
NCTV,131,0,120,11
NDIS,24,0,24,0
NERI,68,0,54,14
NESC,9,0,0,9
NEXI,19,0,0,19
NFIL,26,0,26,0
NFON,39,0,39,0
NGER,37,0,27,10
NGRE,60,0,33,27
NHEU,11,0,11,0
NIBU,57,0,57,0
NIPF,21,0,21,0
NIPU,46,0,46,0
NLAN,35,0,15,20
NLIN,15,0,15,0
NMIC,1,0,1,0
NNOT,16,0,0,16
NPAD,10,0,10,0
NPAE,67,0,67,0
NPAL,36,0,36,0
NRAD,30,0,16,14
NRCH,104,0,58,46
NRCS,37,0,25,12
NREC,11,0,11,0
NRHY,9,0,0,9
NROS,33,0,16,17
NSIA,18,0,0,18
NSOC,42,0,42,0
NSTS,51,0,51,0
NSUA,49,0,49,0
NTPT,38,0,18,20
NTRV,42,0,24,18
NULA,37,17,0,20
NVDA,3,0,0,3
NVEN,78,0,43,35
NVIR,9,0,2,7
NZSU,51,0,51,0
PAPR,37,0,0,37
PBIO,36,13,0,23
PDAO,39,10,0,29
PGRN,32,0,32,0
PHEL,32,11,0,21
PLAU,142,12,96,34
PLEV,6,2,0,4
PLFR,115,46,43,26
PROH,31,31,0,0
PSAT,35,9,0,26
PSBR,93,23,50,20
PSCA,7,0,0,7
PSXO,28,28,0,0
PTCO,100,26,49,25
PTDE,55,23,18,14
PTDU,50,20,21,9
PTLA,122,40,49,33
PTPU,15,15,0,0
PULA,44,0,29,15
RABB,65,0,32,33
RSIN,79,0,26,53
RUNI,51,0,32,19
SBKU,21,0,21,0
SBND,32,18,0,14
SCON,63,11,45,7
SEAT,17,17,0,0
SHTE,43,0,24,19
SIDE,54,0,54,0
SKPO,31,14,1,16
SLAC,32,0,32,0
SNIG,12,12,0,0
SPIN,9,0,4,5
SPRG,14,14,0,0
SPUP,79,19,39,21
SSGE,15,15,0,0
SSVE,82,26,46,10
STMI,13,0,0,13
TAPI,12,0,12,0
TFAS,53,10,29,14
TGES,20,6,9,5
THLA,23,9,0,14
TLEV,9,0,9,0
UULN,34,11,10,13
